Question,Answer,Label
중국에서 사채업을 하던 중국 국적의 갑이 대한민국에서 영업을 하기 위하여 대한민국에 입국하였는데 중국에서 부동산개발사업을 하던 중국 국적의 부부 을 등을 상대로 중국에서 이루어진 금전대여행위에 따른 대여금의 지급을 구하는 소를 대한민국 법원에 제기한 사안에서 대한민국 법원의 국제재판관할권이 인정된다고 한 사례,민사,0
갑 지방자치단체가 을 주식회사 소유의 토지가 포함된 부지에 대하여 제2종 지구단위계획구역 지정을 추진하였고 을 회사가 이를 신뢰하여 관련 절차를 진행하였으나 계획구역 지정이 철회되고 위 부지가 보전관리지역으로 지정되자 을 회사가 갑 지방자치단체를 상대로 신뢰보호의 원칙 위반을 이유로 손해배상을 구한 사안에서 갑 지방자치단체의 배상책임을 인정할 수 없다고 한 사례,민사,0
지적을 제곱미터 단위까지만 표시하도록 한 지적법    같은법시행령  의 취지 및 1필지 토지 중 일부에 대한 소유권이전등기절차이행판결 주문상에 지적이 제곱미터 미만의 단위까지 표시되어 있는 경우 판결경정의 대상이 되는지 여부,민사,0
전득자가 전매자를 대위하여 처분금지가처분결정을 받은 경우 그 효력범위,민사,0
근로자성 인정을 위한 사용종속관계 유무의 판단에 있어 그 고려 요소들의 입체적 파악,민사,0
레미콘운송차주의 근로자성을 인정한 사례,민사,0
채권보전절차에 소요된 소송비용이나 집행비용을 별도로 소구할 이익이 있는지 여부,민사,0
법적절차 소요비용의 상환 약정 자체를 '손해배상액의 예정'으로 볼 수 있는지 여부,민사,0
소송촉진등에관한특례법   본문의 위헌 여부,민사,0
갑 주택재개발정비사업조합이 관리처분계획인가의 고시가 이루어진 후 정비사업 대상 부지 내의 주거용 건축물에서 거주하고 있는 을 등을 상대로 부동산 인도를 구하는 가처분을 신청한 사안에서 갑 조합이 주거이전비 이사비의 손실보상을 완료하지 않았으므로 을 등을 상대로 사용수익권에 근거한 인도청구를 할 수 없다고 한 사례,민사,0
변론종결 후 당사자 일방이 사망하여 소송절차가 중단되었음에도 법원이 이를 간과하고 판결을 선고한 경우 그 선고절차의 적부 및 이 경우 소송수계 명할 수 있는지 여부,민사,0
