fact_one,caseNm,courtNm,judmnAdjuDe,caseNo
부동산 중개업자가 중개를 하지 않았음에도 거래계약서 등을 작성·교부하는 것이 허용되는지 여부부동산 중개업자가 자신의 중개로 전세계약이 체결되지 않았음에도 실제 계약당사자가 아닌 자에게 전세계약서 등을 작성·교부해 줌으로써 이를 담보로 제공받아 금전을 대여한 대부업자가 대여금을 회수하지 못하는 손해를 입은 사안에서 중개업자의 주의의무 위반에 따른 손해배상책임을 인정한 사례,손해배상(기),대법원,2010.5.13.,2009다7886378870
공범관계에 있는 공동피고인에 대하여 검사 이외의 수사기관이 작성한 피의자신문조서의 증거능력공동피고인이 위조된 부동산임대차계약서를 담보로 제공하고 피해자로부터 돈을 빌려 편취할 것을 계획하면서 피고인에게 미리 전화를 하여 임대인 행세를 하여달라고 부탁하였고 피고인은 임대인인 것처럼 행세하여 전세금액 등을 확인한 사안에서 피고인의 행위는 위조사문서행사에 있어서 기능적 행위지배의 공동정범 요건을 갖추었다고 한 사례,사문서위조·위조사문서행사·사기,대법원,2010.1.28.,2009도10139
수 죄의 기본적 사실관계가 동일한지 여부의 판단 기준과실로 교통사고를 발생시켰다는 각 ‘교통사고처리 특례법 위반죄’와 고의로 교통사고를 낸 뒤 보험금을 청구하여 수령하거나 미수에 그쳤다는 ‘사기 및 사기미수죄’는 그 기본적 사실관계가 동일하다고 볼 수 없으므로 위 전자에 관한 확정판결의 기판력이 후자에 미친다고 할 수 없다고 한 사례,살인미수·사기·사기미수,대법원,2010.2.25.,2009도14263
재정신청서 기재요건을 위반한 재정신청을 인용한 공소제기결정의 잘못을 그 본안사건에서 다툴 수 있는지 여부재정신청서에 형사소송법  에 정한 사항의 기재가 없어서 법원으로서는 그 재정신청이 법률상의 방식에 위배된 것으로서 이를 기각하여야 함에도 공소사실에 대한 실체판단에 나아간 제1심판결을 유지한 원심의 조치를 정당하다고 한 사례,사기,대법원,2010.11.11.,2009도224
공인중개사의 업무 및 부동산 거래신고에 관한 법률  에 정한 ‘중개행위’에 해당하는지 여부의 판단 기준 및 ‘중개행위’가 거래의 쌍방 당사자로부터 중개 의뢰를 받은 경우뿐만 아니라 거래의 일방 당사자의 의뢰에 의하여 매매 등 거래행위를 알선·중개하는 경우도 포함하는지 여부한국공인중개사협회의 공제사업에 가입한 부동산 중개회사의 대표이사 갑이 다세대주택의 소유자인 을로부터 건물 관리 및 월세 임대차 계약의 체결 등에 관한 업무를 위임받았을 뿐 전세계약을 체결할 아무런 권한이 없었음에도 임차인 병 등과 채권적 전세계약을 체결하여 그 전세보증금을 편취함으로써 병 등에게 손해를 입힌 사안에서 위 공제사고에서 갑의 행위는 사회통념상 중개에 해당한다고 한 사례한국공인중개사협회의 공제사업에 가입한 부동산 중개회사의 대표이사가 공제계약 갱신 당시 위 협회에 대하여 권한 없이 세입자들과 전세계약을 체결하여 전세금 명목으로 금원을 편취하여 온 사실을 알리지 않은 것이 공제약관에서 공제계약이 무효로 되는 경우로 정한 ‘사기’로 볼 수 없다고 한 사례공제계약을 해지할 수 있는 사유 중 하나로 ‘고의로 공제사고를 유도하여 협회에 손해를 끼치게 한 경우’를 정한 한국공인중개사협회의 공제규정은 고의로 공제사고를 유도하여 협회에 손해를 끼친 경우 협회가 이를 이유로 공제계약을 해지할 수 있되 해지의 효과는 소급하지 않는 것으로 보아야 한다고 한 사례권한 없이 다세대주택에 관한 채권적 전세계약을 체결하여 그 전세보증금을 편취함으로써 임차인들에게 손해를 입힌 부동산 중개회사의 대표이사가 한국공인중개사협회와 공제계약을 체결할 당시 적용되던 공제약관에서 “협회가 보상하는 금액은 공제가입금액을 한도로 한다.”고 규정한 의미는 부동산 중개행위로 인하여 발생한 ‘공제사고 1건당 보상한도’를 정한 것으로 해석될 뿐 1인의 공제사업자에 관하여 ‘공제기간 동안 발생한 모든 공제사고에 대한 총 보상한도’를 규정한 것이라고 볼 수 없다고 한 사례한국공인중개사협회의 공제사업에 가입한 부동산 중개회사의 대표이사가 권한 없이 다세대주택에 관한 채권적 전세계약을 중개하여 그 전세보증금을 편취함으로써 손해를 입게 된 임차인들의 공제금 청구권은 다세대주택의 소유자로부터 건물인도 등의 청구를 받은 때로부터 소멸시효가 진행한다고 한 사례,공제금,서울고법,2010.10.20.,2010나44837
중개업자가 장래 공제사고를 일으킬 의도로 한국공인중개사협회와 공제계약을 체결하고 나아가 실제로 공제사고를 일으켰다 하더라도 그러한 사정만으로 공제계약의 성립요건인 우연성이 결여되었다고 보거나 공제계약을 무효로 볼 수 있는지 여부한국공인중개사협회가 공제가입자인 중개업자의 사기를 이유로 하는 공제계약 취소 또는 무효로써 거래당사자에게 대항할 수 있는지 여부한국공인중개사협회가 공제약관에서 ‘협회가 보상하는 금액은 공제가입금액을 한도로 합니다’라고 규정한 사안에서 위 약관 규정은 ‘공제사고 1건당 보상한도’를 정한 것으로 해석함이 타당하다고 한 사례,공제금,대법원,2012.8.17.,2010다93035
구 조세범 처벌법 에서 정한 자가 조세를 포탈한 경우 포탈세액의 산정 기준납세의무자의 신고에 의하여 부과·징수하는 조세에 대한 조세포탈죄의 기수 시기 및 기수 이후 정부의 과세결정이 있다거나 납세의무자가 포탈세액 전부 또는 일부를 납부하였다는 사정이 범죄 성립에 영향을 미치는지 여부피고인이 자신의 자녀들에게 차명주식을 증여하였는데도 자녀들의 대리인으로서 그들에게 부과될 증여세의 과세표준이나 세액을 신고하지 아니하는 방법으로 증여세를 포탈하였다고 하여 구 특정범죄 가중처벌 등에 관한 법률 위반으로 기소된 사안에서 자녀별 포탈세액 전부를 합산하는 방법으로 ‘피고인의 포탈 세액’을 산정하여 같은 법   위반죄가 기수에 이르렀다고 본 원심판단을 수긍한 사례구 조세범 처벌법  에서 정한 ‘사기 기타 부정한 행위’의 의미피고인이 자신의 자녀들에게 차명주식을 증여하였는데도 적극적으로 자녀들과 차명주주들 사이에 실질적인 매매가 있는 것과 같은 외관을 만드는 방법으로 구 상속세 및 증여세법 의5 에서 정한 의제증여세를 포탈한 사안에서 위 행위가 의제증여세 포탈과 관련하여 ‘사기 기타 부정한 행위’에 해당한다고 본 원심판단을 수긍한 사례조세포탈죄에서 ‘범의’의 내용 및 위 법리가 구 상속세 및 증여세법 의5에서 정한 의제증여세 포탈 범죄의 경우에도 동일하게 적용되는지 여부피고인이 합병을 통한 우회상장을 전제로 자신의 자녀들에게 갑 주식회사 발행의 차명주식을 이전한 후 합병을 통한 우회상장을 하여 차명주식 가치를 증가시키는 방법으로 증가된 가액을 증여하고 그에 따른 의제증여세를 포탈하였다고 하여 구 특정범죄 가중처벌 등에 관한 법률 위반으로 기소된 사안에서 피고인에게 의제증여세 포탈 범의가 있었다고 본 원심판단을 수긍한 사례‘합병에 따른 상장등 이익’을 증여로 의제하여 과세하도록 규정한 구 상속세 및 증여세법 의5가 헌법상 과잉금지원칙이나 평등원칙 등에 위배되는지 여부구 특정범죄 가중처벌 등에 관한 법률   위반죄의 죄수 관계 및 같은 항에서 정한 ‘연간’ ‘연간 포탈세액등’의 의미10 증여세와 의제증여세에 대한 각 포탈범행의 기수 시기가 속한 연도가 다른 경우 각 조세포탈행위를 포괄일죄로 보아 구 특정범죄 가중처벌 등에 관한 법률   위반의 1죄로 처벌할 수 있는지 여부11 차명주식 증여에 관한 증여세와 ‘합병에 따른 상장등 이익’에 관한 의제증여세에 대한 각 포탈범행의 기수 시기가 속한 연도가 다른데도 검사가 위 행위 전체를 구 특정범죄 가중처벌 등에 관한 법률 위반의 포괄일죄로 기소한 사안에서 이를 구 특가법   위반의 1죄로 처벌할 수 없다고 본 원심판단을 수긍한 사례,특정범죄가중처벌등에관한법률위반(알선수재)·특정범죄가중처벌등에관한법률위반(조세)·증권거래법위반,대법원,2011.6.30.,2010도10968
구 조세범 처벌법 에서 정한 ‘사기 기타 부정한 행위’의 의의 및 판단 기준피고인이 명의를 빌려 사업자등록을 하고 차명계좌를 통해 매출금을 입금받았는데도 세무사에게는 매출액 등 일부를 누락한 자료를 건네 실제 매출과 다른 내용의 장부를 작성하고 부가가치세 및 종합소득세 신고를 하게 한 행위가 구 조세범 처벌법에서 정한 ‘사기 기타 부정한 행위’에 해당한다고 본 원심판단을 수긍한 사례원천징수의무불이행으로 인한 구 조세범 처벌법 위반죄의 죄수 관계피고인이 근로소득에 대한 원천징수를 이행하지 않았다고 하여 구 조세범 처벌법 위반죄로 기소된 사안에서 각 사업연도별로 하나의 범죄가 성립하는 것을 전제로 범죄사실을 특정하여 이를 유죄로 인정한 원심판단에 죄수에 관한 법리오해의 위법이 있다고 한 사례,특정범죄가중처벌등에관한법률위반(조세)·조세범처벌법위반,대법원,2011.3.24.,2010도13345
통역인이 사건에 관하여 증인으로 증언한 경우 통역인 제척사유에 해당하는지 여부 및 제척사유 있는 통역인이 통역한 증인의 증인신문조서가 증거능력이 있는지 여부통역인이 피해자의 사실혼 배우자인 경우 통역인 제척사유에 해당하는지 여부통역인 갑이 피고인들에 대한 특정경제범죄 가중처벌 등에 관한 법률 위반 사건의 공판기일에 증인으로 출석하여 진술한 다음 같은 기일에 위 사건의 피해자로서 자신의 사실혼 배우자인 증인 을의 진술을 통역한 사안에서 원심이 갑이 통역한 을의 증인신문조서를 유죄 인정의 증거로 삼은 것은 잘못이라고 한 사례,특정경제범죄가중처벌등에관한법률위반(사기)·사문서위조·위조사문서행사·사기,대법원,2011.4.14.,2010도13583
장물죄에서 본범이 되는 범죄행위에 대하여 우리 형법이 적용되지 않는 경우 그에 관한 법적 평가 기준 및 ‘장물’에 해당하기 위한 요건횡령죄에서 재물의 타인성 등과 관련된 법률관계에 외국적 요소가 있는 경우 소유권 귀속관계 등의 판단 기준대한민국 국민 또는 외국인이 미국 캘리포니아주에서 미국 리스회사와 미국 캘리포니아주의 법에 따라 차량 이용에 관한 리스계약을 체결하였는데 이후 자동차수입업자인 피고인이 리스기간 중 위 리스이용자들이 임의로 처분한 위 차량들을 수입한 사안에서 피고인에게 장물취득죄를 인정한 원심판단의 결론을 정당하다고 한 사례,사기·장물취득·외국환거래법위반,대법원,2011.4.28.,2010도15350
